T_STAMP	Open	High	Low	Close	Volume	ClCl	MAX_RET	PCD	EMAC	SMAC	RSIC	EMA	SMA	SAR	BB_MID	RS	PC	HISTOGRAM	OBV	ROC	STOCH	RSI	WPR	MFI	CCI	ATR	ADX	ARN	STD	OSC	oEMAC	oSMAC	oRSEC	oRSIC	oSTC	oRSI	oWPR	oMFI	oPCZ	oADX	oARN	oOSC
1672141500	0.3684	0.3687	0.3675	0.3685	4418519	0	-0.352781546811389	18.2103828020314	64.034106504291	-36.6785581151824	-49.636289824004	-6.45968978842053	-0.392831153912562	29.7013301789523	-13.1013725950988	-11.7536006013836	42.8476531352403	5.45264393072092	-13.1944521502231	-37.9198720901708	-25.6728194598244	3.5565136165506	-64.2857142857142	-29.486721401968	6.73507161003297	48.9007591126912	-33.4582536548454	60	0.00150286393262996	-115.788157894737	-0.000338	-3.3e-05	7.7542	-2.689768	3.813	0.831845	36.551724	-9.014464	100	32.219207	84.848485	-9.09090909090909
1672142400	0.3684	0.3687	0.3673	0.3673	3033080	-0.00325644504748979	-0.352781546811389	8.92750897362052	49.3931571146229	-40.021787529752	-81.8562739397229	-13.7610967663285	-9.44889101372857	21.1843528310875	-27.1103420277529	22.8812757605319	35.7648338863576	1.60417499583423	-14.3636021143528	-54.3036903289584	-22.107203952444	-5.2052133493028	-100	-42.484641332307	-7.98858115160289	48.2787691123153	-34.0507393674993	56.6666666666667	0.0015239012435194	-205.789407894737	-0.00046	-2e-04	4.29485	-3.704665	-0.824458	-9.185138	20	-19.704212	100	31.782879	84.848485	-18.1818181818182
1672143300	0.3672	0.3681	0.3661	0.3676	5999267	0.000816771031854069	-0.0272257010617993	3.87495684375129	41.427905807722	-43.2440260734411	-66.1674633796085	-6.81290449497758	-2.36222187985049	21.5598319085279	-22.8986917537838	24.654147604431	37.5377057302572	-1.27994327011459	-1.58204270878207	-89.370940140131	-15.8777788396739	-2.86210488004581	-49.1525423728814	-41.627449155652	-24.8792003363577	48.6799111290209	-37.0311292066929	46.6666666666667	0.00156016024817965	-110.289470394737	-0.000374	-0.00035	1.62795	-3.499278	-4.23116	-6.304947	23.076923	-21.011337	100	31.165978	84.848485	-18.1818181818182
1672144200	0.3675	0.3676	0.3666	0.3672	3107638	-0.00108813928182794	-0.108813928182795	-1.34200069634042	33.0060176946633	-49.9580783704533	-74.1922047379992	-7.69754436725641	-1.97075141514954	17.8340883029491	-27.2352361450092	22.2899966800869	34.5726215214588	-4.11204353388902	-3.80751150024317	-67.8520719625075	-10.5823151677633	-5.8723090799682	-62.7118644067782	-35.9218975848488	-27.8985584603735	47.1972376484916	-39.5857490688589	46.6666666666667	0.00156744218394172	-105.514473519737	-0.00035	3.3e-05	-1.0804	-3.83937	-8.678536	-9.767129	16.312057	-27.185255	100	30.568356	84.848485	-18.1818181818182
1672145100	0.3671	0.368	0.3668	0.3673	2621581	0.000272331154684169	0.953159041394321	-4.42044145684297	27.8649405371226	-43.911046082716	-65.1561520850499	-4.34440988237911	-0.788193254260561	17.0986360316114	-25.700066055291	22.8812757605319	34.2628123769877	-6.30781098561873	2.70269484964292	-108.314083574128	-4.42350285702746	-4.9963053045358	-59.322033898304	-37.376604623722	-19.2185919982007	46.1477059699815	-39.3015461116859	46.6666666666667	0.00160838428243998	-105.275723675987	-0.000267	-0.000117	-3.27555	-3.768101	-11.028541	-8.671965	15.328467	-19.419183	100	30.039775	82.828283	-18.1818181818182
1672146000	0.3672	0.3692	0.3666	0.3683	3247342	0.00272257010618016	0.925673836101268	-2.32588264528329	31.1277237556843	-36.0431841499974	-25.5026254215075	4.97423806331656	8.26216140839373	21.7098055080496	-14.3623038357736	28.7852283086274	38.9658953191896	-6.97494440936943	8.30909401695446	-75.7374461553217	2.55604013768774	3.594067938571	-25.4237288135584	-24.6488201097896	7.37441879303683	47.7775651130804	33.844013709913	43.3333333333333	0.00154676274845239	194.736213816201	-2.8e-05	2e-04	-3.95915	-3.05906	-11.620947	1.995064	29.411765	-30.686506	100	29.672606	82.828283	-18.1818181818182
1672146900	0.3683	0.3694	0.3679	0.3691	2978605	0.00217214227531892	0.651642682595698	2.10617608226721	38.3318054691863	-17.3927686144895	0.301160692989919	9.59302904675938	10.2094590683604	25.1617143183469	-3.90074032974913	33.4968600123484	43.077341167924	-6.66743473591097	11.4532938719245	-70.1946726725355	11.6760534576693	9.942037072799	1.69491525423699	-29.9194366415802	42.7320528279472	47.1715377181788	29.8986615720662	40	0.00145102549943135	209.73681069081	0.00019	0.000467	-3.65135	-2.504997	-8.638018	9.728216	41.176471	-33.008384	100	29.340285	81.818182	-18.1818181818182
1672147800	0.369	0.3691	0.3674	0.3682	2996276	-0.0024383635871037	0.433486859929556	0.765703546715642	36.2033792488871	-5.44156635362377	-30.5785834853273	-0.673080229454051	-3.92991142465616	18.6328825766381	-12.6416251808852	28.1955548740423	36.5761617570576	-7.46861432433702	4.54470544375506	-48.7673683929257	12.4759686757447	1.819369878659	-26.315789473683	-51.3837206432538	16.566233397321	47.2071058883248	-26.7312829074935	36.6666666666667	0.00139766770013476	110.486840534541	8.1e-05	0.000117	-4.4832	-3.310429	-7.627058	0.040416	27.941176	-29.50691	100	28.932501	80.808081	-18.1818181818182
1672148700	0.3681	0.3687	0.3676	0.3686	2513184	0.00108636610537749	0.678978815860931	1.31053628251972	37.1232714505318	2.1320987287833	-15.2584781317287	2.69450650093309	-0.392724584896439	19.794445454394	-6.41659477716351	30.5532884493378	38.9338953323526	-7.66625598709229	6.18519393523038	-67.5952283082903	7.92390712879827	5.1726561517582	-12.2807017543864	-43.7714217370236	23.7045753987986	45.9192180926007	-24.0163869092883	33.3333333333333	0.00139592263395934	205.524342026727	9.7e-05	-0.000233	-4.711	-3.026659	-8.136074	4.143718	29.6875	-16.086202	100	28.537461	79.79798	-18.1818181818182
1672149600	0.3686	0.3692	0.3685	0.3689	2701426	0.000813890396093475	0.569723277265326	2.60249998477681	39.2884957646468	2.41311346902845	-4.49882261224331	4.15084085131855	3.9260035389498	20.3954348149945	-2.53039074410943	32.31991016808	39.2016059613329	-7.51499680743253	9.02067383554693	-10.8371725588752	2.11292279248914	7.71834966271319	7.69230769230779	-32.048239484912	72.6874360616516	43.9599793316275	21.8158009298188	30	0.00139692519484759	310.276217101336	0.000137	0.000183	-4.53065	-2.812745	-14.234002	7.258536	31.147541	-16.907885	100	28.217548	78.787879	-18.1818181818182
