T_STAMP	Open	High	Low	Close	Volume	ClCl	MAX_RET	PCD	EMAC	SMAC	RSIC	EMA	SMA	SAR	BB_MID	RS	PC	HISTOGRAM	OBV	ROC	STOCH	RSI	WPR	MFI	CCI	ATR	ADX	ARN	STD	OSC	oEMAC	oSMAC	oRSEC	oRSIC	oSTC	oRSI	oWPR	oMFI	oPCZ	oADX	oARN	oOSC
1678108500	0.3638	0.3643	0.3637	0.3643	2908896	0.00137438152831226	2.5563496426608	56.7639353492605	-13.5005522180782	13.4248707375368	73.1937353574921	9.35475537249665	5.56685916419523	-12.6281082919895	16.4228574159196	-15.1467608443844	-14.2586935934342	7.5763649250291	-36.9660568436347	2.7453672101041	20.500468453076	11.3092678412856	45.0980392156864	13.8094681545996	59.9834725437547	36.4997726716149	21.2837617338773	36.6666666666667	0.00118712888937975	368.406576480695	0.000331	0.000217	46.79445	0	13.864312	25.962446	-6.896552	7.945512	0	-23.83898	-80.733945	27.2727272727273
1678109400	0.3643	0.3649	0.3638	0.3646	4074809	0.000823497117760086	2.41559154542958	64.0526111649032	-5.36689501364179	20.9197280779169	77.4676979537215	8.61551225069523	4.36975961944741	-10.3946727083943	18.5421070658203	-13.3592954591768	-12.4712282082263	9.10293475740395	-37.1353732632509	-8.22481197839231	17.0206406256312	14.2695840323768	56.8627450980378	14.3210556806182	73.2245548485572	36.0197620475475	22.644045753237	36.6666666666667	0.00121856472950763	368.420328824035	0.000346	0.000217	56.88705	0	19.506407	30.661443	0	8.490101	0	-23.262068	-80.733945	27.2727272727273
1678110300	0.3645	0.3653	0.3642	0.3651	5138969	0.00137136588041686	2.33132199670872	63.927778072395	3.40348304998067	29.7107212299709	87.3645261312758	9.70603461621043	5.15765671977395	-6.97722881706594	22.8392964185156	-9.49538505437681	-9.49538505437681	10.7813142340529	-40.7082459600808	-13.6855091840382	16.2090069132004	19.1153180866174	76.4705882352926	16.3070941328022	88.0896795982065	35.5531690247223	24.9208409139295	36.6666666666667	0.00126383345421776	368.421016441202	0.000377	0.000183	68.37645	0	25.275197	38.139783	8.77193	11.61108	0	-22.617237	-79.816514	27.2727272727273
1678111200	0.3651	0.3654	0.3644	0.365	4073261	-0.000273897562311665	2.19118049849357	63.7331644992353	8.2663903346885	35.0959280505868	75.2116956662407	5.67571046968483	1.19001091826425	-7.13479807197598	19.9957445914354	-10.0902275206402	-9.20179692815191	11.9144724149871	-17.9824293716165	35.6800158954806	12.6536595923094	17.682629871669	72.549019607842	17.5107001554082	83.4282811405925	34.9796489514753	27.1508373513197	36.6666666666667	0.00129285536700746	368.42105082206	0.000308	0.00015	76.46655	0	27.797009	34.81629	7.017544	12.218851	0	-21.972581	-70.642202	27.2727272727273
1678112100	0.3649	0.3659	0.3649	0.3658	3752523	0.00219178082191784	2.21917808219178	63.474114459521	16.8522246180985	44.2706852267151	94.0023160764104	10.1168173022928	5.94028928481412	-1.9476274176973	27.4924237496361	-5.33604410102339	-4.447613508535	13.5365318670755	-20.4559217145694	74.0845753647523	10.6338911745694	25.411735559548	96.2264150943401	17.6183670357188	108.704636550914	34.3627341784642	30.3893633776615	80	0.00134424700111252	368.421052541103	0.000367	1e-04	88.2022	0	30.714028	46.569293	21.052632	26.588072	0	-21.240099	-70.642202	27.2727272727273
1678113000	0.3658	0.3664	0.3645	0.3653	5193328	-0.00136686714051393	1.99562602515035	63.155660641582	18.6278524687325	43.1248264586586	61.8165965684299	2.78390568752399	-0.792508180858462	38.381069393384	19.7802311907484	-8.30618874343025	-7.41775815094203	14.1629903242248	1.01842460591907	104.568922024175	2.36358465090939	17.9570979074286	62.068965517242	15.9669722781214	86.2368764652115	35.6670732689899	34.2702806419107	83.3333333333333	0.00136799122804205	268.421052627055	0.000242	0.000183	92.05505	0	27.795154	29.846392	12.280702	25.936608	0	20.589569	-70.642202	27.2727272727273
1678113900	0.3652	0.3659	0.3647	0.3659	3815094	0.00164248562825065	2.13523131672597	62.7825409663162	23.699110296946	45.4768565077518	75.8822590806603	6.60500508764585	2.77036631558474	41.9447557668381	25.2956010031536	-4.74250236997619	-3.85407177748791	15.1156374387732	-6.46786175695517	129.282504823309	0.883442539893942	23.8097622647434	82.7586206896552	30.5842305973422	79.7542084530143	35.40767661873	37.5967811541244	83.3333333333333	0.00143940091704848	263.421052631353	0.00026	-6.7e-05	98.7979	0	28.382686	39.338354	22.807018	47.537365	0	19.961472	-70.642202	27.2727272727273
1678114800	0.3658	0.3665	0.3655	0.366	4223365	0.000273298715496084	1.96775075157146	62.3592142982938	27.3220055525695	39.388515915088	72.6112450077228	5.19295587207062	3.16541181581616	42.0844060875188	24.7317261208328	-4.1491228309605	-3.26069223847209	15.8101796959381	-14.6638014310457	129.246952477717	-0.286740153001142	24.772969981946	83.0508474576271	51.3601330294142	99.3374937620257	34.8211739602484	41.6676627235905	90	0.00150647767988776	263.171052631568	0.000239	0.000217	104.4153	0	27.615278	40.862442	24.561404	62.230786	0	19.483523	-70.642202	27.2727272727273
1678115700	0.366	0.3665	0.3653	0.3656	4198682	-0.00109289617486341	1.93989071038251	61.0100312481296	26.4878384526214	34.26837768662	45.5602259500691	0.295976654256558	-2.77087132702389	39.0272306128167	18.7696491512266	-6.52361449404481	-5.63518390155644	15.7473738107452	0.442819494980908	96.1942280839945	-0.113670833526835	18.328957994792	69.4915254237284	50.5481197870358	87.8623374157014	34.7138062095306	43.4356507949933	93.3333333333333	0.0015459220549562	163.158552631578	0.000126	-3.3e-05	103.76115	0	27.220153	26.350523	17.54386	64.762532	0	18.974472	-70.642202	27.2727272727273
1678116600	0.3656	0.3665	0.3655	0.3665	2884723	0.00246170678336988	2.05142231947484	61.3859810316925	31.867312870773	30.1665423012539	71.1873513634999	7.31284865172403	5.53342152273118	43.6939563921527	28.4733613905629	-1.18465491728	-0.296224324791671	16.4300162630651	-8.28520935128495	87.6958209954992	1.17715279861454	27.4126791759676	100	66.5742837317548	110.073954639059	34.1040300433945	44.95106914191	96.6666666666667	0.00162587668659096	158.157927631579	0.000217	1.7e-05	108.96165	0	27.228786	41.775089	33.333333	64.567444	0	18.482974	-70.642202	27.2727272727273
