T_STAMP	Open	High	Low	Close	Volume	ClCl	MAX_RET	PCD	EMAC	SMAC	RSIC	EMA	SMA	SAR	BB_MID	RS	PC	HISTOGRAM	OBV	ROC	STOCH	RSI	WPR	MFI	CCI	ATR	ADX	ARN	STD	OSC	oEMAC	oSMAC	oRSEC	oRSIC	oSTC	oRSI	oWPR	oMFI	oPCZ	oADX	oARN	oOSC
1678108500	1565.49	1567.35	1564.75	1567.12	2444.4705	0.00104120754524129	0.799110821531916	51.1532900024829	7.547639504523	2.01190983810305	48.2929995424495	4.16424823690998	3.95550859726553	14.5827797044475	6.60484825863039	3.07831339291645	0.699863630012231	3.11285514767184	-3.95706987330215	6.76628882120944	15.9328641485005	17.7616497526006	62.6436781609146	25.4993405462348	108.204940655877	17.3801150927794	17.3084808943655	33.3333333333333	1.46815837020397	210.524968675987	0.049323	-0.132176	181.80445	0	0	36.237096	81.402003	14.959196	0	-11.728847	0	0
1678109400	1567.12	1570.45	1565.53	1569.33	5826.7866	0.0014102302312522	0.694267190770337	64.0826255968363	13.2829632954896	9.86093617598772	77.7369064810205	6.85361712586626	5.58448782840884	17.3962325385501	12.1001788675545	6.1384322019121	3.759982439008	3.92873379647766	-7.81727595779855	26.4794333075713	26.5899698646317	28.1151276353556	75.0834260289184	30.0006451712964	182.389643207468	18.3553052910912	21.4213495071364	70	1.73793347110871	210.526248433799	0.091536	-0.158532	189.4448	0	0	54.539424	86.008745	25.515284	0	11.55447	0	0
1678110300	1569.32	1571.59	1568.51	1570.57	3827.7191	0.00079014611330952	0.552465064709148	63.9884323777058	18.7876978937189	17.4530232179309	86.5728487604924	6.85317563244785	4.32508690336292	18.7308027798649	14.6687989456507	7.85353518466953	5.47508542176551	4.82269706621842	-8.9029847210242	19.8851570613989	27.6093417264728	33.1969801927244	79.8617966436328	31.4249901459612	220.354212537766	18.431520598167	25.8303244452555	73.3333333333333	2.08878816542031	210.52631242169	0.139951	-0.178144	198.1902	0	0	61.902302	88.104956	28.860246	0	11.449418	0	0
1678111200	1570.57	1570.98	1568.11	1569	2944.7124	-0.000999637074437953	0.47307665369898	63.8221427882773	19.5075779525617	19.4080841724886	42.8382892780429	1.67292927655427	-1.75269390458991	16.0532344207041	9.50406726139613	5.68176518615439	3.30331542325052	5.05577827425405	-4.46503595329828	16.0102601899759	10.1641447827122	21.4864871722662	48.8647581441274	27.1195504602186	148.862028012497	18.4386739950934	28.6333241752904	73.3333333333333	2.16450456224974	210.526315621085	0.168976	-0.197546	203.3907	0	0	29.929561	69.795918	23.369555	0	11.321028	0	-18.1818181818182
1678112100	1569.01	1571	1568.76	1570.85	1650.6928	0.00117909496494573	0.573613766730402	63.5892352658464	22.7110639131162	20.8645743423608	64.3175291767902	4.52592475645751	1.96338789619185	18.119058335926	13.4989188355582	8.24062909524158	5.86217933233795	5.61666215742646	-4.64827214774895	28.5603371472387	-0.693816594895857	29.3668487139774	85.3899308983215	26.4984946582352	147.343878789562	18.120018437603	31.0562383710569	73.3333333333333	2.23622421729125	210.526315781054	0.210754	-0.214208	210.5404	0	0	45.225017	91.370262	36.64872	0	11.197476	0	-18.1818181818182
1678113000	1570.84	1575	1568.76	1570.97	7055.3905	7.63917624218013e-05	0.455167584428818	63.2948697828917	24.6513393542539	19.8278417163721	60.5197257455355	3.2378477412734	1.92636139206948	17.8043283698998	12.6771247852799	8.40650536394477	6.0280556010411	5.99816903500606	-8.70752189116808	49.8384953137432	-5.8954343840756	29.8586279545292	40.472673559823	34.3270311724264	153.63043630835	19.661637737704	36.0751873039676	83.3333333333333	2.40994481264612	210.526315789053	0.248547	-0.201279	217.54525	0	0	46.140148	56.052345	58.516969	0	11.298006	0	-18.1818181818182
1678113900	1570.96	1571.55	1568.04	1571.29	3564.7544	0.000203695805776061	0.447494223314256	62.9439047704508	26.0822336549237	22.1010226193356	59.7253019544766	2.74783003695198	0.700253542401297	17.5419021520536	12.7923514557971	8.8487801428921	6.47033037998832	6.27651597978573	-9.18465463194113	50.7877644498667	2.6799723660249	31.2335920708102	45.1994091580496	28.3155800842478	98.8857794237761	19.8491121252697	38.628831211546	83.3333333333333	2.60762458954503	210.526315789453	0.284431	-0.177835	224.651	0	0	48.873511	59.541985	54.850924	0	11.34602	0	-18.1818181818182
1678114800	1571.28	1573.88	1570.18	1571.72	6282.9787	0.00027366049551647	0.427037656957025	62.5409131759216	27.3463994072617	20.3158208069787	60.5129233543464	2.62371015784039	1.08698670571577	17.4527255412756	13.1569869064709	9.4429450624551	7.0644952995513	6.49537270138625	-11.7158776322758	53.7158949280148	6.47255191127262	33.130508884546	51.5509601181686	43.8464732932178	119.125571856822	20.1077821970787	42.2487711653055	83.3333333333333	2.81404952870413	210.526315789473	0.319473	-0.157878	231.996	0	0	52.740894	62.363741	57.819886	0	11.512091	0	-18.1818181818182
1678115700	1571.72	1573.46	1569.81	1569.83	4519.1664	-0.00120250426284585	0.399562262998497	55.147246055394	24.7253911749685	15.6429435584503	6.65545426608109	-1.73473451987475	-3.08816731250777	14.177313573122	7.2598444565772	6.83016898113945	4.45171921823543	6.0824980860549	-5.42044979495785	34.4579284620217	-5.1078368886441	17.7550051042478	23.633677991136	38.755028305858	90.6653949051728	20.3547720204601	44.4440896604161	83.3333333333333	2.8642592410604	110.526315789474	0.333189	-0.132619	234.82675	0	0	9.18056	40.676994	37.038534	0	11.647337	0	-18.1818181818182
1678116600	1569.83	1572.67	1569.57	1572.44	2535.226	0.00166260040896149	0.520438518820514	60.6034601259844	26.9499400431503	14.1467121086412	45.0153924386721	3.65246595188284	3.06680765415393	17.142042906519	13.5831401939538	10.4374619841007	8.05901222119711	6.29663808335363	-5.97780912674236	45.4466561829747	-6.2529234304089	29.8105533981454	57.8947368421064	48.9960338171924	97.7607735876509	20.2776718662637	45.6844526787573	83.3333333333333	3.02998580854762	105.526315789474	0.367502	-0.125057	240.82255	0	0	38.327245	70.625359	47.679529	0	11.761531	0	-18.1818181818182
